1,,2,,3,,4,
4/15/2014,1,11/10/2014,1,4/11/2015,3,12/14/2015,8
4/15/2014,2,,,,,,
4/15/2014,3,,,,,,
4/15/2014,4,,,,,,
4/15/2014,5,11/10/2014,4,4/11/2015,8,12/14/2015,6
4/15/2014,6,,,,,,
4/15/2014,7,,,,,,
4/15/2014,8,,,,,,
4/15/2014,9,,,,,,
4/15/2014,10,11/10/2014,8,,,,
4/15/2014,11,11/10/2014,2,4/11/2015,4,12/14/2015,2
4/15/2014,12,,,,,,
4/15/2014,13,11/10/2014,5,4/11/2015,6,12/14/2015,9
4/15/2014,14,,,,,,
4/15/2014,15,11/10/2014,3,4/11/2015,5,12/14/2015,1
4/15/2014,16,11/10/2014,7,4/11/2015,12,,
4/15/2014,17,,,,,,
4/15/2014,18,,,,,,
4/15/2014,19,,,,7,12/14/2015,7
4/15/2014,20,,,,,,
4/15/2014,21,11/10/2014,15,4/11/2015,11,12/14/2015,5
,,11/10/2014,6,4/11/2015,,,
,,11/10/2014,9,,,,
,,11/10/2014,10,,,,
,,11/10/2014,11,4/11/2015,,,
,,11/10/2014,12,4/11/2015,,,
,,11/10/2014,13,4/11/2015,,12/14/2015,4
,,11/10/2014,14,4/11/2015,,,
,,11/10/2014,16,4/11/2015,,,
,,11/10/2014,17,,,,
,,11/10/2014,18,4/11/2015,,,
,,11/10/2014,19,4/11/2015,,,
,,11/10/2014,20,4/11/2015,,,
,,11/10/2014,21,,,,
,,11/10/2014,22,,,,
,,11/10/2014,23,4/11/2015,,,
,,11/10/2014,24,4/11/2015,,12/14/2015,3
,,11/10/2014,25,,,,
