Subject/Candidate Campaign,,,,2,2,1,1,2,2,3,3,4,2,2,,,,,,,
,Number in Json,,,52,53,43,44,52,53,36,37,8,7,8,,,,,,,
,,Row in Log,,20,20,20,20,20,20,20,20,20,33,33,,,,,,,
,,,Name,15,15,21,21,15,15,11,11,5,21,21,,,,,,,
2,52,20,15,0,767653.4433,1195999.096,1106915.088,0,767653.4433,378806.6002,466253.4692,349258.5592,208307.5286,437695.3738,,,,,,,
2,53,20,15,767653.4433,0,2402088.253,2265140.156,767653.4433,0,631466.6646,521550.8369,1053451.41,1085564.839,436200.5605,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Subject/Candidate Campaign,,,,2,2
,,,,,,,,,,,,,,,,,Number in Json,,,52,53
,,,,,,,,,,,,,,,,,,Row in Log,,20,20
,,,,,,,,,,,,,,,,,,,Name,15,15
,,,,,,,,,,,,,,,,2,52,20,15,0,767653.4433
,,,,,,,,,,,,,,,,2,53,20,15,767653.4433,0
,,,,,,,,,,,,,,,,1,43,20,21,1195999.096,2402088.253
,,,,,,,,,,,,,,,,1,44,20,21,1106915.088,2265140.156
,,,,,,,,,,,,,,,,2,52,20,15,0,767653.4433
,,,,,,,,,,,,,,,,2,53,20,15,767653.4433,0
,,,,,,,,,,,,,,,,3,36,20,11,378806.6002,631466.6646
,,,,,,,,,,,,,,,,3,37,20,11,466253.4692,521550.8369
,,,,,,,,,,,,,,,,4,8,20,5,349258.5592,1053451.41
,,,,,,,,,,,,,,,,2,7,33,21,208307.5286,1085564.839
,,,,,,,,,,,,,,,,2,8,33,21,437695.3738,436200.5605
